OFFENCE_CODE,OFFENCE_DESCRIPTION,anzsoc,anzsoc_group_code_name,IS_DRIVING_UNDER_INFLUENCE_FLG,violent,alcohol,drug
1111,Murders (Firearm),111,0111: Murder,N,1,,
1110,Murder,111,0111: Murder,N,1,,
1116,Murders (Stabbing/Cutting Weapon),111,0111: Murder,N,1,,
1112,Murders (Other Weapon),111,0111: Murder,N,1,,
1113,Murders (Manually),111,0111: Murder,N,1,,
5923,Produce/Manufacture/ Fantasy Type Substances,1031,1031: Manufacture illicit drugs,N,,,1
1121,Attempts To Murder (Firearm),121,0121: Attempted murder,N,1,,
2651,Males Rapes Female Under 12,311,0311: Aggravated sexual assault,N,1,,
2625,Abduction For Sex Girl 12-16,511,0511: Abduction and kidnapping,N,,,
2326,Buggery,311,0311: Aggravated sexual assault,N,1,,
1120,Attempted Murder,121,0121: Attempted murder,N,1,,
2652,Males Rapes Female 12-16,311,0311: Aggravated sexual assault,N,1,,
2653,Males Rapes Female Over 16,311,0311: Aggravated sexual assault,N,1,,
1122,Attempts To Murder (Other Weapon),121,0121: Attempted murder,N,1,,
2654,Husband Rapes Wife,311,0311: Aggravated sexual assault,N,1,,
1449,Other Disabling/Stupefying,299,"0299: Other acts intended to cause injury, nec",N,1,,
7342,Trafficking In People By Means Of Coercion Or Deception,1543,1543: Immigration offences,N,,,
1119,Other Murder,111,0111: Murder,N,1,,
2697,Attempted Unlawful Sexual Connection Male 12-16,311,0311: Aggravated sexual assault,N,1,,
1439,Other Aggravated Wounding/Injury,210,0210: Assault not further defined,N,1,,
2695,Unlawful Sexual Connection Male Over 16,311,0311: Aggravated sexual assault,N,1,,
5231,Hijacking Aircraft,499,"0499: Other dangerous or negligent acts endangering persons, nec",N,,,
2694,Unlawful Sexual Connection Male 12-16,311,0311: Aggravated sexual assault,N,1,,
1124,Attempts To Murder (Stabbing/Cutting Weapon),121,0121: Attempted murder,N,1,,
2626,Abduction For Sex Female Over 16,511,0511: Abduction and kidnapping,N,,,
2665,Attempted Unlawful Sexual Connection Female Under 12,311,0311: Aggravated sexual assault,N,1,,
2132,Abducts For Sex (Female),511,0511: Abduction and kidnapping,N,,,
2663,Attempt To Rape Female Over 16,311,0311: Aggravated sexual assault,N,1,,
