dim2_type,dim2_code,dimension2_type,dimension2_code
NA,NA,Population,total
age_band_current,00-04 years,5 Year grouping to 80,01
age_band_current,05-09 years,5 Year grouping to 80,02
age_band_current,10-14 years,5 Year grouping to 80,03
age_band_current,15-19 years,5 Year grouping to 80,04
age_band_current,20-24 years,5 Year grouping to 80,05
age_band_current,25-29 years,5 Year grouping to 80,06
age_band_current,30-34 years,5 Year grouping to 80,07
age_band_current,35-39 years,5 Year grouping to 80,08
age_band_current,40-44 years,5 Year grouping to 80,09
age_band_current,45-49 years,5 Year grouping to 80,10
age_band_current,50-54 years,5 Year grouping to 80,11
age_band_current,55-59 years,5 Year grouping to 80,12
age_band_current,60-64 years,5 Year grouping to 80,13
age_band_current,65-69 years,5 Year grouping to 80,14
age_band_current,70-74 years,5 Year grouping to 80,15
age_band_current,75-79 years,5 Year grouping to 80,16
age_band_current,80 years and over,5 Year grouping to 80,17
age_band,00-04 years,5 Year grouping to 80,01
age_band,05-09 years,5 Year grouping to 80,02
age_band,10-14 years,5 Year grouping to 80,03
age_band,15-19 years,5 Year grouping to 80,04
age_band,20-24 years,5 Year grouping to 80,05
age_band,25-29 years,5 Year grouping to 80,06
age_band,30-34 years,5 Year grouping to 80,07
age_band,35-39 years,5 Year grouping to 80,08
age_band,40-44 years,5 Year grouping to 80,09
age_band,45-49 years,5 Year grouping to 80,10
age_band,50-54 years,5 Year grouping to 80,11
age_band,55-59 years,5 Year grouping to 80,12
age_band,60-64 years,5 Year grouping to 80,13
age_band,65-69 years,5 Year grouping to 80,14
age_band,70-74 years,5 Year grouping to 80,15
age_band,75-79 years,5 Year grouping to 80,16
age_band,80 years and over,5 Year grouping to 80,17
age_atleast4,1,Age group - Reference,4 years up
age_lessthan5,1,Age group - Reference,not yet 5
age_lessthan6,1,Age group - Reference,not yet 6
age_atleast5,1,Age group - Reference,5 years up
age_atleast12,1,Age group - Reference,12 years up
age_lessthan16,1,Age group - Reference,not yet 16
age_atleast16,1,Age group - Reference,16 years up
age_lessthan18,1,Age group - Reference,not yet 18
age_atleast18,1,Age group - Reference,18 years up
age_school,1,Age group - Reference,school age
age_youth,1,Age group - Reference,youth age 15to24
age_imms,1,Age group - Reference,imms age 5to18
had_sdq,1,Age group - Reference,had SDQ at B4SC
had_peds,1,Age group - Reference,had PEDS at B4SC
had_b4sc,1,Age group - Reference,had a B4SC
res_age_4,1,Age group - Reference,Resident at age 4
school_enrolled,1,Age group - Reference,Enrolled in school
has_mother,1,Age group - Reference,Has a mother recorded
has_father,1,Age group - Reference,Has a father recorded
has_caregiver,1,Age group - Reference,Has a caregiver recorded
index_age_band,00-02 years,Index age band,0-2 years
index_age_band,03-05 years,Index age band,3-5 years
index_age_band,06-08 years,Index age band,6-8 years
index_age_band,09-11 years,Index age band,9-11 years
index_age_band,12-14 years,Index age band,12-14 years
index_age_band,15-17 years,Index age band,15-17 years
index_age_band,18-20 years,Index age band,18-20 years
index_age_band,21-23 years,Index age band,21-23 years
index_age_band,24-26 years,Index age band,24-26 years
index_age_band,27-29 years,Index age band,27-29 years
deprivation,dep01_02,Deprivation,100
deprivation,dep03_04,Deprivation,200
deprivation,dep05_06,Deprivation,300
deprivation,dep07_08,Deprivation,400
deprivation,dep09_10,Deprivation,500
deprivation_current,dep01_02,Deprivation,100
deprivation_current,dep03_04,Deprivation,200
deprivation_current,dep05_06,Deprivation,300
deprivation_current,dep07_08,Deprivation,400
deprivation_current,dep09_10,Deprivation,500
disability,0,Disability,Not Disabled
disability,1,Disability,Disabled
eth_european,0,DROP,DROP
eth_maori,0,DROP,DROP
eth_pacific,0,DROP,DROP
eth_asian,0,DROP,DROP
eth_melaa,0,DROP,DROP
eth_other,0,DROP,DROP
eth_european,1,Ethnicity,1
eth_maori,1,Ethnicity,2
eth_pacific,1,Ethnicity,3
eth_asian,1,Ethnicity,4
eth_melaa,1,Ethnicity,5
eth_other,1,Ethnicity,6
sex,1,Sex,1
sex,2,Sex,2
sex,3,Sex,3
sex_gender,1,Gender,1
sex_gender,2,Gender,2
sex_gender,3,Gender,3
country,New Zealand,country,NZ
talb,100,TALB,00100
talb,200,TALB,00200
talb,300,TALB,00300
talb,1100,TALB,01100
talb,1200,TALB,01200
talb,1300,TALB,01300
talb,1500,TALB,01500
talb,1600,TALB,01600
talb,1700,TALB,01700
talb,1800,TALB,01800
talb,1900,TALB,01900
talb,2000,TALB,02000
talb,2100,TALB,02100
talb,2200,TALB,02200
talb,2300,TALB,02300
talb,2400,TALB,02400
talb,2500,TALB,02500
talb,2600,TALB,02600
talb,2700,TALB,02700
talb,2800,TALB,02800
talb,2900,TALB,02900
talb,3000,TALB,03000
talb,3100,TALB,03100
talb,3200,TALB,03200
talb,3300,TALB,03300
talb,3400,TALB,03400
talb,3500,TALB,03500
talb,3600,TALB,03600
talb,3700,TALB,03700
talb,3800,TALB,03800
talb,3900,TALB,03900
talb,4000,TALB,04000
talb,4100,TALB,04100
talb,4200,TALB,04200
talb,4300,TALB,04300
talb,4400,TALB,04400
talb,4500,TALB,04500
talb,4600,TALB,04600
talb,4700,TALB,04700
talb,4800,TALB,04800
talb,4900,TALB,04900
talb,5000,TALB,05000
talb,5100,TALB,05100
talb,5200,TALB,05200
talb,5300,TALB,05300
talb,5400,TALB,05400
talb,5500,TALB,05500
talb,5600,TALB,05600
talb,5700,TALB,05700
talb,5800,TALB,05800
talb,5900,TALB,05900
talb,6000,TALB,06000
talb,6200,TALB,06200
talb,6300,TALB,06300
talb,6400,TALB,06400
talb,6500,TALB,06500
talb,6600,TALB,06600
talb,6700,TALB,06700
talb,6800,TALB,06800
talb,6900,TALB,06900
talb,7000,TALB,07000
talb,7100,TALB,07100
talb,7200,TALB,07200
talb,7300,TALB,07300
talb,7400,TALB,07400
talb,7500,TALB,07500
talb,7601,TALB,07601
talb,7602,TALB,07602
talb,7603,TALB,07603
talb,7604,TALB,07604
talb,7605,TALB,07605
talb,7606,TALB,07606
talb,7607,TALB,07607
talb,7608,TALB,07608
talb,7609,TALB,07609
talb,7610,TALB,07610
talb,7611,TALB,07611
talb,7612,TALB,07612
talb,7613,TALB,07613
talb,7614,TALB,07614
talb,7615,TALB,07615
talb,7616,TALB,07616
talb,7617,TALB,07617
talb,7618,TALB,07618
talb,7619,TALB,07619
talb,7620,TALB,07620
talb,7621,TALB,07621
talb,99900,TALB,99900
regc,1,REGC,01
regc,2,REGC,02
regc,3,REGC,03
regc,4,REGC,04
regc,5,REGC,05
regc,6,REGC,06
regc,7,REGC,07
regc,8,REGC,08
regc,9,REGC,09
regc,12,REGC,12
regc,13,REGC,13
regc,14,REGC,14
regc,15,REGC,15
regc,16,REGC,16
regc,17,REGC,17
regc,18,REGC,18
regc,99,REGC,99
talb_current,100,TALB,00100
talb_current,200,TALB,00200
talb_current,300,TALB,00300
talb_current,1100,TALB,01100
talb_current,1200,TALB,01200
talb_current,1300,TALB,01300
talb_current,1500,TALB,01500
talb_current,1600,TALB,01600
talb_current,1700,TALB,01700
talb_current,1800,TALB,01800
talb_current,1900,TALB,01900
talb_current,2000,TALB,02000
talb_current,2100,TALB,02100
talb_current,2200,TALB,02200
talb_current,2300,TALB,02300
talb_current,2400,TALB,02400
talb_current,2500,TALB,02500
talb_current,2600,TALB,02600
talb_current,2700,TALB,02700
talb_current,2800,TALB,02800
talb_current,2900,TALB,02900
talb_current,3000,TALB,03000
talb_current,3100,TALB,03100
talb_current,3200,TALB,03200
talb_current,3300,TALB,03300
talb_current,3400,TALB,03400
talb_current,3500,TALB,03500
talb_current,3600,TALB,03600
talb_current,3700,TALB,03700
talb_current,3800,TALB,03800
talb_current,3900,TALB,03900
talb_current,4000,TALB,04000
talb_current,4100,TALB,04100
talb_current,4200,TALB,04200
talb_current,4300,TALB,04300
talb_current,4400,TALB,04400
talb_current,4500,TALB,04500
talb_current,4600,TALB,04600
talb_current,4700,TALB,04700
talb_current,4800,TALB,04800
talb_current,4900,TALB,04900
talb_current,5000,TALB,05000
talb_current,5100,TALB,05100
talb_current,5200,TALB,05200
talb_current,5300,TALB,05300
talb_current,5400,TALB,05400
talb_current,5500,TALB,05500
talb_current,5600,TALB,05600
talb_current,5700,TALB,05700
talb_current,5800,TALB,05800
talb_current,5900,TALB,05900
talb_current,6000,TALB,06000
talb_current,6200,TALB,06200
talb_current,6300,TALB,06300
talb_current,6400,TALB,06400
talb_current,6500,TALB,06500
talb_current,6600,TALB,06600
talb_current,6700,TALB,06700
talb_current,6800,TALB,06800
talb_current,6900,TALB,06900
talb_current,7000,TALB,07000
talb_current,7100,TALB,07100
talb_current,7200,TALB,07200
talb_current,7300,TALB,07300
talb_current,7400,TALB,07400
talb_current,7500,TALB,07500
talb_current,7601,TALB,07601
talb_current,7602,TALB,07602
talb_current,7603,TALB,07603
talb_current,7604,TALB,07604
talb_current,7605,TALB,07605
talb_current,7606,TALB,07606
talb_current,7607,TALB,07607
talb_current,7608,TALB,07608
talb_current,7609,TALB,07609
talb_current,7610,TALB,07610
talb_current,7611,TALB,07611
talb_current,7612,TALB,07612
talb_current,7613,TALB,07613
talb_current,7614,TALB,07614
talb_current,7615,TALB,07615
talb_current,7616,TALB,07616
talb_current,7617,TALB,07617
talb_current,7618,TALB,07618
talb_current,7619,TALB,07619
talb_current,7620,TALB,07620
talb_current,7621,TALB,07621
talb_current,99900,TALB,99900
regc_current,1,REGC,01
regc_current,2,REGC,02
regc_current,3,REGC,03
regc_current,4,REGC,04
regc_current,5,REGC,05
regc_current,6,REGC,06
regc_current,7,REGC,07
regc_current,8,REGC,08
regc_current,9,REGC,09
regc_current,12,REGC,12
regc_current,13,REGC,13
regc_current,14,REGC,14
regc_current,15,REGC,15
regc_current,16,REGC,16
regc_current,17,REGC,17
regc_current,18,REGC,18
regc_current,99,REGC,99
sa2,100100,SA2,100100
sa2,100200,SA2,100200
sa2,100301,SA2,100301
sa2,101900,SA2,101900
sa2,102000,SA2,102000
sa2,102100,SA2,102100
sa2,102300,SA2,102300
sa2,102401,SA2,102401
sa2,102501,SA2,102501
sa2,102600,SA2,102600
sa2,102700,SA2,102700
sa2,102801,SA2,102801
sa2,102900,SA2,102900
sa2,103000,SA2,103000
sa2,103101,SA2,103101
sa2,103200,SA2,103200
sa2,103301,SA2,103301
sa2,103401,SA2,103401
sa2,103501,SA2,103501
sa2,105200,SA2,105200
sa2,105300,SA2,105300
sa2,105400,SA2,105400
sa2,105500,SA2,105500
sa2,105601,SA2,105601
sa2,105700,SA2,105700
sa2,105800,SA2,105800
sa2,105901,SA2,105901
sa2,106000,SA2,106000
sa2,106100,SA2,106100
sa2,106201,SA2,106201
sa2,106301,SA2,106301
sa2,106401,SA2,106401
sa2,106501,SA2,106501
sa2,106902,SA2,106902
sa2,108000,SA2,108000
sa2,108100,SA2,108100
sa2,108200,SA2,108200
sa2,108300,SA2,108300
sa2,108400,SA2,108400
sa2,108500,SA2,108500
sa2,108601,SA2,108601
sa2,108701,SA2,108701
sa2,108800,SA2,108800
sa2,108900,SA2,108900
sa2,109101,SA2,109101
sa2,109200,SA2,109200
sa2,109301,SA2,109301
sa2,109400,SA2,109400
sa2,111100,SA2,111100
sa2,111200,SA2,111200
sa2,111300,SA2,111300
sa2,111400,SA2,111400
sa2,111500,SA2,111500
sa2,111601,SA2,111601
sa2,111700,SA2,111700
sa2,111801,SA2,111801
sa2,111901,SA2,111901
sa2,112001,SA2,112001
sa2,112101,SA2,112101
sa2,112102,SA2,112102
sa2,112200,SA2,112200
sa2,112301,SA2,112301
sa2,112401,SA2,112401
sa2,112500,SA2,112500
sa2,112701,SA2,112701
sa2,112702,SA2,112702
sa2,112902,SA2,112902
sa2,114300,SA2,114300
sa2,114400,SA2,114400
sa2,114500,SA2,114500
sa2,114600,SA2,114600
sa2,114701,SA2,114701
sa2,114801,SA2,114801
sa2,114901,SA2,114901
sa2,114902,SA2,114902
sa2,115001,SA2,115001
sa2,115002,SA2,115002
sa2,115100,SA2,115100
sa2,115200,SA2,115200
sa2,115300,SA2,115300
sa2,115400,SA2,115400
sa2,115501,SA2,115501
sa2,115601,SA2,115601
sa2,115901,SA2,115901
sa2,117100,SA2,117100
sa2,117300,SA2,117300
sa2,117400,SA2,117400
sa2,117500,SA2,117500
sa2,117600,SA2,117600
sa2,117700,SA2,117700
sa2,117800,SA2,117800
sa2,117900,SA2,117900
sa2,118001,SA2,118001
sa2,118100,SA2,118100
sa2,118200,SA2,118200
sa2,118300,SA2,118300
sa2,118400,SA2,118400
sa2,118501,SA2,118501
sa2,118502,SA2,118502
sa2,120400,SA2,120400
sa2,120500,SA2,120500
sa2,120600,SA2,120600
sa2,120701,SA2,120701
sa2,120800,SA2,120800
sa2,120900,SA2,120900
sa2,121001,SA2,121001
sa2,121100,SA2,121100
sa2,121200,SA2,121200
sa2,121300,SA2,121300
sa2,121401,SA2,121401
sa2,121500,SA2,121500
sa2,121600,SA2,121600
sa2,121701,SA2,121701
sa2,121901,SA2,121901
sa2,123200,SA2,123200
sa2,123300,SA2,123300
sa2,123400,SA2,123400
sa2,123500,SA2,123500
sa2,123600,SA2,123600
sa2,123701,SA2,123701
sa2,123800,SA2,123800
sa2,123900,SA2,123900
sa2,124000,SA2,124000
sa2,124100,SA2,124100
sa2,124200,SA2,124200
sa2,124301,SA2,124301
sa2,124401,SA2,124401
sa2,124500,SA2,124500
sa2,124600,SA2,124600
sa2,125202,SA2,125202
sa2,126200,SA2,126200
sa2,126300,SA2,126300
sa2,126500,SA2,126500
sa2,126601,SA2,126601
sa2,126701,SA2,126701
sa2,126801,SA2,126801
sa2,126901,SA2,126901
sa2,127001,SA2,127001
sa2,127002,SA2,127002
sa2,127100,SA2,127100
sa2,127200,SA2,127200
sa2,127300,SA2,127300
sa2,127400,SA2,127400
sa2,127500,SA2,127500
sa2,127601,SA2,127601
sa2,127701,SA2,127701
sa2,127801,SA2,127801
sa2,129300,SA2,129300
sa2,129400,SA2,129400
sa2,129600,SA2,129600
sa2,129700,SA2,129700
sa2,129800,SA2,129800
sa2,129901,SA2,129901
sa2,130000,SA2,130000
sa2,130100,SA2,130100
sa2,130200,SA2,130200
sa2,130300,SA2,130300
sa2,130400,SA2,130400
sa2,130500,SA2,130500
sa2,130601,SA2,130601
sa2,130700,SA2,130700
sa2,130801,SA2,130801
sa2,130901,SA2,130901
sa2,130902,SA2,130902
sa2,132300,SA2,132300
sa2,132400,SA2,132400
sa2,132600,SA2,132600
sa2,132700,SA2,132700
sa2,132800,SA2,132800
sa2,132900,SA2,132900
sa2,133000,SA2,133000
sa2,133100,SA2,133100
sa2,133200,SA2,133200
sa2,133301,SA2,133301
sa2,133400,SA2,133400
sa2,133500,SA2,133500
sa2,133600,SA2,133600
sa2,133700,SA2,133700
sa2,134302,SA2,134302
sa2,135500,SA2,135500
sa2,135600,SA2,135600
sa2,135700,SA2,135700
sa2,135800,SA2,135800
sa2,135900,SA2,135900
sa2,136001,SA2,136001
sa2,136100,SA2,136100
sa2,136200,SA2,136200
sa2,136300,SA2,136300
sa2,136400,SA2,136400
sa2,136501,SA2,136501
sa2,136502,SA2,136502
sa2,136601,SA2,136601
sa2,136700,SA2,136700
sa2,136801,SA2,136801
sa2,137201,SA2,137201
sa2,137202,SA2,137202
sa2,138400,SA2,138400
sa2,138600,SA2,138600
sa2,138700,SA2,138700
sa2,138800,SA2,138800
sa2,138901,SA2,138901
sa2,139000,SA2,139000
sa2,139100,SA2,139100
sa2,139201,SA2,139201
sa2,100400,SA2,100400
sa2,100500,SA2,100500
sa2,100600,SA2,100600
sa2,100700,SA2,100700
sa2,100800,SA2,100800
sa2,100900,SA2,100900
sa2,101000,SA2,101000
sa2,101101,SA2,101101
sa2,101200,SA2,101200
sa2,101300,SA2,101300
sa2,101400,SA2,101400
sa2,101500,SA2,101500
sa2,101600,SA2,101600
sa2,101700,SA2,101700
sa2,101801,SA2,101801
sa2,102201,SA2,102201
sa2,103600,SA2,103600
sa2,103700,SA2,103700
sa2,103800,SA2,103800
sa2,103900,SA2,103900
sa2,104000,SA2,104000
sa2,104101,SA2,104101
sa2,104200,SA2,104200
sa2,104301,SA2,104301
sa2,104400,SA2,104400
sa2,104501,SA2,104501
sa2,104600,SA2,104600
sa2,104700,SA2,104700
sa2,104800,SA2,104800
sa2,104900,SA2,104900
sa2,105001,SA2,105001
sa2,105101,SA2,105101
sa2,106600,SA2,106600
sa2,106700,SA2,106700
sa2,106800,SA2,106800
sa2,106901,SA2,106901
sa2,107000,SA2,107000
sa2,107100,SA2,107100
sa2,107200,SA2,107200
sa2,107300,SA2,107300
sa2,107401,SA2,107401
sa2,107501,SA2,107501
sa2,107600,SA2,107600
sa2,107700,SA2,107700
sa2,107800,SA2,107800
sa2,107901,SA2,107901
sa2,109003,SA2,109003
sa2,109004,SA2,109004
sa2,109500,SA2,109500
sa2,109600,SA2,109600
sa2,109700,SA2,109700
sa2,109800,SA2,109800
sa2,109900,SA2,109900
sa2,110100,SA2,110100
sa2,110201,SA2,110201
sa2,110400,SA2,110400
sa2,110501,SA2,110501
sa2,110600,SA2,110600
sa2,110700,SA2,110700
sa2,110800,SA2,110800
sa2,110900,SA2,110900
sa2,111602,SA2,111602
sa2,112600,SA2,112600
sa2,112800,SA2,112800
